Sr_No,video_Title,video_description,likes,video_url
160,Now You Can Earn From @iNeuroniNtelligence,Our Popular courses:- Fullstack data science job guaranteed program:-,363,https://www.youtube.com/watch?v=zOiNTDwcS20
161,4 Evergreen Job Profiles In IT Companies- Part 1,Our Popular courses:- Fullstack data science job guaranteed program:-,767,https://www.youtube.com/watch?v=jfnepXHPJZY
163,Automated Python Generation from the Mito Spreadsheet,,230,https://www.youtube.com/watch?v=kM_FMkkRWR8
164,iNeuron Meet Up With @HiteshChoudharydotcom 27th March 2022,Hey,iNeuron is announcing a new meetup on the 27th of March 2022 where you will be hosted by Mr.Hitesh Choudhary & Mr.Krish Naik, at our iNeuron office in Bangalore.,128,https://www.youtube.com/watch?v=n-4fWmu0f9A
165,Motivational Stories From iNeuron Meet Up,Our Popular courses:- Fullstack data science job guaranteed program:-,215,https://www.youtube.com/watch?v=I853fRFvYcY
166,Perform Easy EDA, Feature engineering and Find KPI's With PowerBI,Our Popular courses:- Fullstack data science job guaranteed program:-,406,https://www.youtube.com/watch?v=B8-JkQsRbXM
167,PowerBI Vs Tableau| Which One Should You Use,Our Popular courses:- Fullstack data science job guaranteed program:-,751,https://www.youtube.com/watch?v=V32qAs5aypA
168,Meet Me And iNeuron Team This Sunday(13th March),Hey There,iNeuron is welcoming you all for its first official meet-up at its new office in Bangalore where Sudhanshu & Me will discuss emerging technological trends along with many other interesting discussio,97,https://www.youtube.com/watch?v=Zfn-o9o95J0
169,Time Series Vs Non Time Series Problems- Why Time Series Forecasting Is Difficult?,Hello Guys, Lifetime Time Offer Access is extended till March 31st 2022,497,https://www.youtube.com/watch?v=whmI0WHuIK4
170,OneNeuron Lifetime Time Access Offer Is Extended till March 31st 2022,Hello Guys, Lifetime Time Access Offer is extended till March 31st 2022,163,https://www.youtube.com/watch?v=fg250IxBrGs
171,Announcing Time Series Live Session With Syllabus And Prerequisites,Hello Guys,An Amazing news for the people who have taken oneneuron Lifetime Subscription. Now we have included 22 amazing courses developed by @Hitesh Choudhary in our one neuron platform. ,669,https://www.youtube.com/watch?v=vhI0Nr1hHCY
172,My Updated Recording Gears For Video Content Creation,,101,https://www.youtube.com/watch?v=EOs0azfufY4
173,Differences Between Microcontroller And Microprocessor-Nvidia Jetson Nano- Ft: Sunny,The Oneneuron Lifetime subscription has been extended.In Oneneuron platform you will be able to get 100+ courses(Monthly atleast 20 courses will be added based on your demand) ,79,https://www.youtube.com/watch?v=ODFq7mcPRBg
174,Announcements And Upcoming Live Sessions- Must Watch,The Oneneuron Lifetime subscription has been extended.In Oneneuron platform you will be able to get 100+ courses(Monthly atleast 20 courses will be added based on your demand) ,354,https://www.youtube.com/watch?v=qcR8YzMP1rM
175,Prerequisites To Attend The Live Session On EDA And Feature Engineering,,1K,https://www.youtube.com/watch?v=bTN-6VPe8c0
176,Announcing Next Community Session 7 Days Live Session From 17th Feb,,646,https://www.youtube.com/watch?v=sHAesX11GD0
177,Best Laptops For Data Science In 2022 With Geforce RTX GPU's,,873,https://www.youtube.com/watch?v=Suq74qfwmaA
178,Interview 1-MySQL Interview Question With Solutions- Solving Queries- Part 2,,415,https://www.youtube.com/watch?v=KTdItTJVvFQ
179,Announcing Kids Tech Oneneuron Platform- Now Kids Can Learn Amazing Tech,,61,https://www.youtube.com/watch?v=vnCvZc3dy1A
180,Announcing Live Classes And Course-A-Thon In One Neuron Platform,,239,https://www.youtube.com/watch?v=QGsy07tQ270
181,Interview 1-MySQL Interview Question With Solutions- Part 1,,604,https://www.youtube.com/watch?v=nEYdSiKygCI
182,Definition Of Bias And Variance In Machine Learning- Interview Question,,325,https://www.youtube.com/watch?v=BLkBXPN7IXU
183,Announcing 7 Days Live Sessions On Machine Learning Algorithms(Feb 1- Feb7th),,1.5K,https://www.youtube.com/watch?v=z8sxaUw_f-M
184,Earth In 2050,,336,https://www.youtube.com/watch?v=ePHlFloOL2A
185,How To Calculate P Value In Hypothesis Testing,,285,https://www.youtube.com/watch?v=L3PqinKUfX4
186,Tutorial 9- MYSQL Stored Procedures -MySQL Complete Playlist,What is a SQL Stored Procedure?The stored procedure is a prepared SQL query that you can save so that the query can be reused over and over again. So, if the user has an SQL query that you write over and over again, keep it as ,683,https://www.youtube.com/watch?v=vFZ5rtf71WU
187,Tutorial 8- Discussing All Types Of Joins -MySQL Complete Playlist,,382,https://www.youtube.com/watch?v=_OfQeKAUFtA
188,Vision Of OneNeuron Platform- How We Are Solving All Your Problems?,The Oneneuron Lifetime subscription has been extended.In Oneneuron platform you will be able to get 100+ courses(Monthly atleast 20 courses will be added based on your demand) ,323,https://www.youtube.com/watch?v=sZuzxy_hV6s
189,Finish Work Faster with Acer Nitro 5 equipped with NVIDIA GeForce RTX 3060,,1K,https://www.youtube.com/watch?v=MZU4BcMFw7w
190,Important Components In A Drone,Subscribe  @Krish Naik Vlogs   channel for more educational videos on finance and investmentPlease donate if you want to support the channel through GPay UPID,Gpay: krishnaik06@okicici,242,https://www.youtube.com/watch?v=8DvrC3m0Htk
192,Tutorial 7- Interview Preparation MySql Views-MySQL Complete Playlist,In SQL, the view is a virtual table based on the result-set of an SQL statement.  A view holds rows and columns, similar to a real table. The fields in a view are fields from one or more real tables in the database.  You can add SQL functions, WHERE, and JOIN statements to a view and present t,313,https://www.youtube.com/watch?v=p7pYiynUNAo
193,We Use Stats Everywhere!!,,176,https://www.youtube.com/watch?v=k__uZ5X_oKM
194,Smartphone Controlled RC Car Using Arduino #shorts,Smartphone Controlled RC Car Using Arduino,111,https://www.youtube.com/watch?v=wE0rcyksU3k
195,iNeuron New Office Tour 2022,,1.6K,https://www.youtube.com/watch?v=O74DzHj_-FI
196,Tutorial 6- Indexing In MySQL-MySQL Complete Playlist,CREATE INDEX statement in SQL is used to create indexes in tables. The indexes are used to retrieve data from the database more quickly than others.The user can not see the indexes, and they are just used to speed up queries /searches.,313,https://www.youtube.com/watch?v=xDDlB51dX5E
197,Tutorial 5- Primary Key, Foreign Key, Check And Default Constraints-MySQL Complete Playlist,SQL constraints are used to specify any rules for the records in a table. Constraints can be used to limit the type of data that can go into a table. It ensures the accuracy and reliability of the records in the table, and ,386,https://www.youtube.com/watch?v=z-Zg39LzcW8
198,Raspberry Pi Installation, Set Up And Object Detection Application- AI In Hardwares,,370,https://www.youtube.com/watch?v=HnjGunbK4u8
199,Tutorial 4- SQL Constraints Part1 - My SQL Complete Playlist,SQL constraints are used to specify any rules for the records in a table. Constraints can be used to limit the type of data that can go into a table. It ensures the accuracy and reliability of the records in the table, and ,414,https://www.youtube.com/watch?v=cKNQRAMoQHw
200,AI In Hardware,,1.1K,https://www.youtube.com/watch?v=1DL6w0EUQNs
201,My 5 Developer And Entrepreneur Goals In 2022,,183,https://www.youtube.com/watch?v=4H-FqixiZ-M
202,Road From 0-500K Subscribers-Special Video,,171,https://www.youtube.com/watch?v=y01uQXti3e4
203,Covariance,Pearson Correlation And Spearman Correlation Coefficient With Real World Examples,,251,https://www.youtube.com/watch?v=jPwRlpefNY4
204,All The Job Offers That I Had In My Career,,612,https://www.youtube.com/watch?v=yBY-sdnOc9E
205,Tutorial 3-MYSQL NULL Values, UPDATE,DELETE,ALTER Query-Complete MySQL Tutorial,,634,https://www.youtube.com/watch?v=7s0kdfiTLRE
206,Complete Roadmap For Becoming A Blockchain Developer In 2022,In this video we will discuss about the entire roadmap for becoming a blockchain application developer in 2022Timestamps,2.1K,https://www.youtube.com/watch?v=djgtWqkZE84
207,Tutorial 2-Create and Drop Database and Table-Complete MySQL Tutorial-,,1.1K,https://www.youtube.com/watch?v=9DwlJSlwvqY
208,Experience Metaverse With These Platforms- What Is Metaverse?-Blockchain,In this video we will discuss my experience with metaverse using decentraland,sandbox, and axieinfinityTimeline--------------------------------------------,263,https://www.youtube.com/watch?v=7f4tnQ9bcKU
209,What Recruiters Are Looking From Freshers And College Students For Jobs?,In this video we will discuss about what the recruiter is looking from freshers and college students for jobs in 2022Timeline,666,https://www.youtube.com/watch?v=h85H_XZvX4I
210,Updated Skills For Data Science Based On Experience In 2022,,1.4K,https://www.youtube.com/watch?v=Akl7ndShTbo
211,RoadMap With Minimal Skills To Become Data Analyst In 2022,In this video we will discuss about the roadmap to become data analyst in 2022Timeline--------------------------------------------,7.7K,https://www.youtube.com/watch?v=lzP14izI4lQ
213,Learning Data Science In 2022- Step By Step Plan,,7K,https://www.youtube.com/watch?v=C9eZclkoWSs
214,Technology That Can Create An Impact In 2022,,599,https://www.youtube.com/watch?v=UxZuO3CJtq8
215,My YouTube Channel 2021 Rewind,Here is my recap of 20211. Aimed at half million subscriber(currently  at 4.93)2. Got our pre series funding for ineuron ,241,https://www.youtube.com/watch?v=qutnF_qmJp4
216,Learn How to Set Up Goals Like A Pro In 2022,,475,https://www.youtube.com/watch?v=8LwIk99qYyo
217,How Much Did I Earn From YouTube In 2021,,1.2K,https://www.youtube.com/watch?v=9dbB_wqjbUY
218,Why Everybody Should Code In 2022,,609,https://www.youtube.com/watch?v=mbYEhK-HcmM
219,Planning To Change My Profession- From Data Scientist to Tik Tok Star #shorts,,1.6K,https://www.youtube.com/watch?v=-VwvfiuGPow
220,iNeuron Projectathon 2021 Winner Announcement- Prize Money 2 Lakhs Rs INR,,209,https://www.youtube.com/watch?v=E2F-Oa1bYsQ
221,What Is Smart Contract In Ethereum Blockchain?,"smart contract" is simply a program that runs on the Ethereum blockchain. It's a collection of code (its functions) and data (its state) that resides at a specific address on the Ethereum blockchain.Smart contracts are a type of Ethereum account. This means they have a balance and they c,276,https://www.youtube.com/watch?v=TH8ntzkdtLk
222,What is Web 3.0?,Web3, short for Web 3.0 is the next version of the internet, where services will run on blockchain. Majority of the Web 2.0 operations are controlled by tech giants such as Amazon, Google and Microsoft but Web 3.0 is de-centralised where data is distributed across networks and no single entity owns the ,711,https://www.youtube.com/watch?v=hBD2CLYdjiM
223,What Is NFT In Blockchain?,,370,https://www.youtube.com/watch?v=If0NLAp3Idk
224,Does OneNeuron Include Full Stack Data Scientist Course?,,759,https://www.youtube.com/watch?v=yilLCG5L4UI
225,My Speech-OneNeuron OTT Platform Launch,,584,https://www.youtube.com/watch?v=N9-e4Vq8hp0
226,Roles And Responsibilities Of Devops Engineer- Highest Paid Salary,,402,https://www.youtube.com/watch?v=pMv5idWmTvQ
227,Lifetime Subscription Offer Of OneNeuron Platform Till Jan-15-2022,,1.1K,https://www.youtube.com/watch?v=W-tE_ZP1zv4
228,OTT Platform For Education OneNeuron- Education As A Service,,957,https://www.youtube.com/watch?v=M-UpXWGxZe4
229,Roles And Responsibilities Of An AI Engineer,,507,https://www.youtube.com/watch?v=gzJGqML4j5k
230,Tutorial on Automated Machine Learning using MLBox,,539,https://www.youtube.com/watch?v=FKEJ2_T9swo
231,Companies That Has Regular Job Openings For Data Science,,1.2K,https://www.youtube.com/watch?v=PUMFSfUQ6FI
232,Face Matching Application Using Deep Learning End to End Implementation,,777,https://www.youtube.com/watch?v=TYaYeLsnljI
233,3 Ways To Efficiently Increase Your Salary In Data Science Job Switch,,442,https://www.youtube.com/watch?v=_XjxOPo1LPE
234,iNeuron Full Stack Data Science Course With Job Guarantee,Hello Guys,Last week leftFinally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job ,493,https://www.youtube.com/watch?v=poJ05JtqKZU
235,The Best Book For Learning & Get Your Basics Strong In Data Science,,1.4K,https://www.youtube.com/watch?v=DqxG2rme_jI
236,This Is The Perfect Resume For Data Science Role,,2K,https://www.youtube.com/watch?v=9t56T1wRm7Y
237,Skills Based On Experience For Data Science Roles,,598,https://www.youtube.com/watch?v=p9U4Gg5uu4M
238,Day 3- Final Results Announcement- KIET Hackathon,,223,https://www.youtube.com/watch?v=MdAxsC0eTpE
239,Day 2- 24 Hours Hackathon Competition Vlog At KIET,,267,https://www.youtube.com/watch?v=a1DsrZKWN5o
240,Day 1-AI and Machine Learning Hackathon Workshop For KIET,,507,https://www.youtube.com/watch?v=oqTtbv18jyg
241,Trailer- Ineuron First College 24 hours Hackathon 2021 At KIET Kakinada,Hello Guys,Post Covid This was the first ineuron hackathon in a college at KIET college. The hackathon was for 24 hours and it was a 3 days event. ,463,https://www.youtube.com/watch?v=KkAGcHrBTyQ
242,Is This An Efficient Way To Handle 90 Days Notice Period?,,339,https://www.youtube.com/watch?v=C30-YjuXTNQ
243,Create Your Custom Dataset Using Faker Library,,232,https://www.youtube.com/watch?v=w9zBy6f224I
244,INEURON DIWALI CELEBRATION VIDEO,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,536,https://www.youtube.com/watch?v=xp0EhyraFB4
245,Suggest Me Some Ideas Give Aways,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,142,https://www.youtube.com/watch?v=liNu3Rg2V2I
246,Python – Different Ways To Import Module From Different Directory,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,443,https://www.youtube.com/watch?v=I5VE2dHeKGE
247,Tutorial 3- What is Blockchain Technology, and How Does It Work?,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,187,https://www.youtube.com/watch?v=UZ0Yq4Lee34
248,Last Moment Interview Preparation In Data Science,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,397,https://www.youtube.com/watch?v=AyDoaxyxR1Q
249,Why Sample Variance is Divided by n-1,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,788,https://www.youtube.com/watch?v=vGsRwB3TsiE
250,Reasons Why Your Resume May Not Get Selected?,Hello All,Finally iNeuron is happy to announce Full Stack Data Scientist with 1 year Internship and Job Guarantee Program starting from 27th November 2021 and the class timing is from 10am to 1 pm and t,726,https://www.youtube.com/watch?v=4qiRLjwiCIE
251,Benefits And Perks Of Working As A Data Scientist,,414,https://www.youtube.com/watch?v=B40rWF65DU0
252,Story Of Bappy- Successful Career Transition From Fresher To Freelancing Data Scientist,,244,https://www.youtube.com/watch?v=PLcK28qEGhU
253,About Demystify AI and OpenVINO™ Toolkit,,78,https://www.youtube.com/watch?v=WD_pBezKLRY
254,Checking My Data Science Resume Score?,,301,https://www.youtube.com/watch?v=-AcaXp6MW_k
255,Intel AI Global Impact Festival,,220,https://www.youtube.com/watch?v=RrdQuas5-CM
256,Learn From These Experienced Data Scientist Resumes,,742,https://www.youtube.com/watch?v=juRBQ_ZtbuY
257,Better Salary Or Better Work? Which One Would You Prefer AS Fresher Or Experienced?,,245,https://www.youtube.com/watch?v=rRKTZOckMRU
258,Few Important Pointers For Preparing Fresher Data Science Resumes,,896,https://www.youtube.com/watch?v=uuicl8lJuyk
261,What We Can Learn From These Resumes For Data Science?,,318,https://www.youtube.com/watch?v=adB-iqTyJX4
262,How to Install Ubuntu in Windows 10 with WSL2-Windows Subsystem for Linux,,66,https://www.youtube.com/watch?v=fWq6ZLRqTZc
263,Complete Implementation Of Perceptron In Deep Learning Using Python From Scratch,,132,https://www.youtube.com/watch?v=UEezYzbraXg
264,Implementation Of Perceptron In Deep Learning Using Python From Scratch- Part 1- Ft: Sunny,,216,https://www.youtube.com/watch?v=lRcNvNduD2M
265,Automated Python Code Generation with Mito,,304,https://www.youtube.com/watch?v=0Y-xE_oWs4k
266,Complete Feature Engineering And EDA In Data Science in 31 Videos,,271,https://www.youtube.com/watch?v=UX2F3iEqOxw
267,Freshers Vs Experience Resume Review For Data Science Role,,435,https://www.youtube.com/watch?v=IjMlk_4KzT8
268,Tutorial 2- Revolutionary Applications Of Blockchain Technology,Blockchain technologies are the digital, distributed, and decentralized ledger representing the most virtual currencies that are accountable for logging all transactions without the need for a financial mediator, such as a ba,306,https://www.youtube.com/watch?v=qcYI3l4i2I0
269,Meet iNeuron Team,,1.7K,https://www.youtube.com/watch?v=9X0ScbtpiGU
270,How Vishwa Made A Successful Career From A Fresher To Data Science,,324,https://www.youtube.com/watch?v=OgfcxAcYs8g
271,Tutorial 1- What Is Blockchain?,KEY TAKEAWAYSBlockchain is a specific type of database.It differs from a typical database in the way it stores information; blockchains store data in bl,852,https://www.youtube.com/watch?v=0JuRzN6T70I
272,Reviewing Mechanical Engineer Resume For Data Science Role,,622,https://www.youtube.com/watch?v=oEoWUp_FTJg
273,Remote Work Vs Working From Office- Which Is Good For Longer Run?,,174,https://www.youtube.com/watch?v=xCmKI5ZutKw
274,Why Companies Hire Less Data Scientist In College Placements? For 2nd Tier And 3rd Tier,,384,https://www.youtube.com/watch?v=NwlSglDfi2w
275,What’s New In Python 3.10? Discussing All The New Features,,332,https://www.youtube.com/watch?v=SOOS7tN0nHg
276,What Role Should You Select In Analytics Industry? Common Q&A,,227,https://www.youtube.com/watch?v=wIyueG1sHVo
277,How To Install Ubuntu Linux In Windows- ft: Paul iNeuron,,139,https://www.youtube.com/watch?v=xiX1MDn-KyU
278,Perform Easy EDA And Generate Python Using Mito,,218,https://www.youtube.com/watch?v=U_X48JTDUk8
279,20+Jobs Opening In Ineuron For Data Scientist,Data Analyst,Cloud Engineer For Freshers- Just Apply,,654,https://www.youtube.com/watch?v=vqTLCsVhK-Y
280,FLAML - Fast and Lightweight AutoML Library By Microsoft,,384,https://www.youtube.com/watch?v=kaEtrkDknTA
281,iNeuron New Office Vlog In Bangalore,,1.2K,https://www.youtube.com/watch?v=hV-YDJbAlLs
282,Mito Turns Your Data Visualizations into Code,,188,https://www.youtube.com/watch?v=cOWBYpiHv0U
283,Time Series Forecasting Made Easy Using Dart Library - Perform Multivariate Forecasting In No Time,,1.1K,https://www.youtube.com/watch?v=sXNXI2mE8DU
284,Important Points To Remember While Discussing CTC And Inhand Salary In Industry,,606,https://www.youtube.com/watch?v=2fNa1nEnW8s
285,Appraisal Vs Resignation- Special Video For Everyone,,536,https://www.youtube.com/watch?v=3-0AdTRR3CE
286,Reviewing A Fresher And Experienced Resume For Data Science Role,,622,https://www.youtube.com/watch?v=N09HwH0-pwo
287,Part 5- Create Image classification Using Google ML Kit in an Android app,In this video we finally add the image labeling library from Google's ML Kit and integrate it with our Image Helper activity.,137,https://www.youtube.com/watch?v=zFNBZZavgbY
288,Problem With Companies On Dealing With Notice Period,,291,https://www.youtube.com/watch?v=HCeftAwqHr8
289,Part 4- Developing UI To Select User image and displaying it in an Android app,In this video we create a UI for our app to start selecting an image from the user's phone Gallery and then display it in the App.,53,https://www.youtube.com/watch?v=cMqn4q0GNNg
290,Why Many People Are Obsessed With FAANG?,,567,https://www.youtube.com/watch?v=Za2tRUQaj3w
291,Common Mistakes While Preparing Data Science Resumes,,334,https://www.youtube.com/watch?v=6KYJ3QW7CoI
292,Part 3- Handling Storage permissions in Android app- Building ML usecases using Tensorflow lite,In this video we create a new project for ML Series and add READ STORAGE permission which allows us to read user's photo and files.,59,https://www.youtube.com/watch?v=DiOfrCFqs0k
293,Suggest More Services That We Should Provide In iNeuron Affordable Courses,,251,https://www.youtube.com/watch?v=el_RZOaUhE8
294,Part 2- Creating and Running a Hello World app in Android Studio,,115,https://www.youtube.com/watch?v=t-L6jkEDfdU
295,The Smallest Data Science Resume- Feedback On Resumes,,534,https://www.youtube.com/watch?v=3GgnzeTT2yc
296,Part 1- Building 7 Usecases of ML on Android App Using Tensorflow Lite- Introduction & Installation,Welcome to this special series on building seven use cases of Machine Learning on Android.Image classification,221,https://www.youtube.com/watch?v=YjpxIzvFfpI
297,Happy Teacher's Day Everyone,,198,https://www.youtube.com/watch?v=Ns7ed4xbChs
298,How To Write Data Science Project Description In Resumes,,661,https://www.youtube.com/watch?v=qV72ZATVzDQ
299,What is Cloud Computing In Layman Terms,,301,https://www.youtube.com/watch?v=X_dL0_6seWs
300,Btech Degree In Data Science In Collaboration With KIET Group Of Institution And iNeuron,,223,https://www.youtube.com/watch?v=p06cNc8fKWI
301,Reviewing Resume For Data Science Role For Freshers- Part 2,,619,https://www.youtube.com/watch?v=1K5ZrZjbes4
